Название фильма,Страны,Режиссер,Жанр,Год
7 дней и ночей с Мэрилин,Великобритания,Саймон Кёртис  (англ.) (рус.,драмабиография,2011
7 женщин,США,Джон Форд,драма,1966
7 секунд (фильм),США Румыния Швейцария Великобритания,Саймон Феллоуз,боевик,28 июня 2005 и 12 сентября 2005
7 ящиков,Парагвай,Хуан Карлос МанельяТана Шембори,триллеркриминал,2012
07-й меняет курс,Россия,Владимир Потапов,боевик / драма,2007
007: Координаты «Скайфолл»,Великобритания США,Сэм Мендес,шпионский фильм,2012
007: Спектр,Великобритания США,Сэм Мендес,шпионский фильм,2015
7:35 утра,Испания[1],Начо Вигалондо,короткометражный музыкальный,"21 ноября 2003, 12 марта 2004, 17 мая 2009 и 29 октября 2010"
8 ½ $,Россия,Григорий Константинопольский,комедийный фильм,1999
8 женщин (фильм),Франция Италия,Франсуа Озон,мюзиклкомедия детектив,2002
8 лучших свиданий,"Россия

 Украина",Марюс Вайсберг,комедия / мелодрама,2016
8 миллиметров,США Германия,Джоэл Шумахер,триллеркриминал,1999
8 первых свиданий,Россия Украина,Дэвид ДодсонАлександр Маляревский,комедия,2012
8 подруг Оушена,США,Гэри Росс,кинокомедиякриминальный фильм,2018
8 свиданий,Испания,"Перис Романо, Родриго Сорогойен",Романтическая кинокомедия,2008
8-битное Рождество,США,Майкл Даус,комедия,2021
9 апреля (фильм),Дания,Рони Эзра,"Военный, драма",2015
9 душ,Япония,Тосиаки Тоёда,фильм-драма,2003
9 мая. Личное отношение,Россия,Авдотья СмирноваАлександр КоттВладимир КоттЕвгений ЛаврентьевКарен ОганесянМаксим ПежемскийЕгор КончаловскийВасилий Чигинский,Телеальманах,2008—2010
9 мёртвых геев,Великобритания,Лаб Ки Мо,драмакомедия,2002
9 месяцев строгого режима,Франция,Альбер Дюпонтель,комедия,2013
9 песен,Великобритания,Майкл Уинтерботтом[1][2][…],драмамелодрамамузыкальный фильмэротика,2004
9 рота (фильм),Россия Украина,Фёдор Бондарчук,"военно-историческийбоевик, драма",2005
9 смертей ниндзя,США,Эмметт Олстон,боевик,1985
"9/11 (фильм, 2017)",США,Мартин Гиги,"драма, фильм-катастрофа",2017
10 000 лет до нашей эры,США ЮАР,Роланд Эммерих,приключенческий боевик,2008
10 лет спустя,США,Джеми Линден,драмаромантическая комедия,Марти БоуэнРид КэролинВик ГодфриЧеннинг Татум
10 миль в час,США США,Хантер Уикс  (англ.) (рус.,Документальное кино,2007
10 на 10,Великобритания,Сьюзи Юинг,триллер,2018
10 причин моей ненависти,США,Джил Джангер,романтическая комедия,1999
10 шагов к успеху,США,Брэд Силберлинг,комедийная драма,2006
11 сентября (фильм),США Иран Франция Израиль Буркина-Фасо Индия Япония Босния и Герцеговина Египет Мексика Великобритания,Самира МахмальбафКлод ЛелушЮсеф ШахинДанис ТановичИдрисса ОдрраогоКен ЛоучАлехандро Гонсалес ИнарритуАмос ГитайМира НаирШон ПеннСёхэй Имамура,драмаисторическийкиноальманах,2002
11-11-11,США Испания,Даррен Линн Боусман,фильм ужасов о сверхъестественном,1 ноября 2011
11:14,США Канада,Грег Маркс,Триллердетективный фильмкриминалчёрная комедия,2003
11.6,Франция,Филипп Годо,драма,Филипп Годо
12 (фильм),Россия,Никита Михалков,"психологический триллер,юридический детектив,драма,артхаус",2007
12 дней страха,ЮАР,Джек Шолдер,"ужасы, триллер, драма",2004
12 лет рабства,США,Стив Маккуин,историческая драма,2013
"12 месяцев (фильм, 2013)",Россия,Александр Баршак,комедия,2013
12 месяцев. Новая сказка,Россия,Денис Елеонский,"фильм-сказка,комедия,мелодрама,семейный фильм",19 февраля 2015
12 могил Ходжи Насреддина,СССР,Климентий Минц,"комедия, сказка",1966
12 обезьян (фильм),США,Терри Гиллиам,фантастикатриллердрамаантиутопия,1995
"12 разгневанных мужчин (фильм, 1957)",США,Сидни Люмет,юридическая драма,1957
"12 разгневанных мужчин (фильм, 1997)",США,Уильям Фридкин,процессуальная драма[d],
12 раундов,США,Ренни Харлин,боевиктриллеркриминал,2009
12 раундов: Перезагрузка,США,Роэль Рейн[d][1][2],боевиктриллер,2013
12 стульев (телеспектакль),СССР,Александр Белинский,телеспектакль,1966
"12 стульев (фильм, 1971)",СССР,Леонид Гайдай,комедия,1971
"12 стульев (фильм, 1976)",СССР,Марк Захаров,комедиямюзиклмелодрама,
12:08 к востоку от Бухареста,Румыния,Корнелиу Порумбою,комедия,2006
13 грехов,США,Даниэль Штамм,"триллер, фильм ужасов",2014
13 дней во Франции,Франция,Клод ЛелушЖиль ГиФрансуа Рейшенбах,документальный фильмспортивный фильм,1968
13 друзей хунты,Россия,,документальный,2014
13 изгнаний дьявола,,Хакобо Мартинес,фильм ужасов,2022
13 призраков,США,Уильям Касл,фильм ужасов,1960
13 стульев,Нацистская Германия,Эмерих Йозеф Войтек,Комедия,1938
13 убийц,Япония,Такаси Миикэ,боевик,2010
13 часов: Тайные солдаты Бенгази,США,Майкл Бэй,военныйдраматриллер,2016
13-й апостол,СССР,Сурен Бабаян,фантастический фильм,1988
13-й знак,Великобритания,Джонти ЭктонАдам Мэйсон,Ужасы,2000
13-й район,Франция,Пьер Морель,"антиутопия, боевик",2004
13-й район: Кирпичные особняки,Франция Канада,Камиль Деламарр,боевик,2014
13-й район: Ультиматум,Франция,Патрик Алессандрен (фр. Patrick Alessandrin),боевик,2009
13-й участок,Чехословакия,Мартин Фрич,"криминальный фильмдрама, экранизация",1946
13-я жертва,США,Мэл Хаус[en],ужасы,2008
14 амазонок,Гонконг,Чэн ГанДун Шаоюн,приключенческий фильмдрамавоенный фильм,1972
14 июля (фильм),Франция,Рене Клер,комедия,1933
14 клинков,Гонконг Китай,Дэниел Ли,боевиктриллер,2010
14+,Россия,Андрей Зайцев,мелодрама,2015
14+: Продолжение,Россия,Андрей Зайцев,мелодрама,2023
15 августа (фильм),Франция,Патрик Алессандрен,комедия,2001
15 минут славы,США,Джон Херцфелд,Криминальная драмабоевик,2001
16 желаний,США,Питер Делуиз,подростковая фэнтезийная комедия,
16 кварталов,США,Ричард Доннер,криминальный фильмдраматриллер,2006
17 девушек (фильм),Франция,Дельфин КулинМюриэль Кулин,драма,2011
18 бронзовых бойцов,Гонконг Китайская Республика,Джозеф Го[en],боевикдрама,1975[1][2]
18 килогерц,Казахстан,Фархат Шарипов,драма,2021
"18 мая (фильм, 2007)",Республика Корея,Ким Джи Хун[en],боевикдрамавоенныйистория,2007
18-14,Россия,Андрес Пуустусмаа,исторический детективприключение,2007
18-летняя девственница,США,Тамара Олсон,комедия,2008
20 000 дней на Земле,Великобритания,Айан ФорсайтДжейн Поллард,документальныймузыкальный,2014
20 000 лет в Синг-Синге,США,Майкл Кёртис,Криминальная мелодрамаТюремная драма,1932
"20 000 лье под водой (фильм, 1916)",США,Стюарт Патон,фантастика,1916
"20 000 лье под водой (фильм, 1954)",США,Ричард Флейшер,"драма, стимпанк, приключенческий фильм",1954
"20 000 лье под водой (фильм, 1997)",США,Род Харди,криминальный фильмдраматриллер,1997
20 декабря (телефильм),СССР,Григорий Никулин,исторический фильм,1981
20 дней в Мариуполе,Украина,Мстислав Чернов,документальный фильм и военный фильм,2023
20 миллионов миль до Земли,США,Натан Юран,"научно-фантастический фильм, фильм о монстрах, фильм-катастрофа, приключенческий фильм, фэнтезийный фильм и фильм ужасов",1957
20 сантиметров,Испания Франция,Рамон Саласар,комедиямюзикл,2005
20 сигарет,Россия,Александр Горновский,драмакомедия,2007
20 тысяч разновидностей пчёл,Испания,Эстибалис Урресола Солагурен[d],драматический фильм и ЛГБТ-фильм[d],2023 и 11 января 2024[1]
21 грамм,США,Алехандро Гонсалес Иньярриту,Драма,2003
21 и больше,США,Джон ЛукасСкотт Мур,комедия,2013
21 мост,США,Брайан Кирк,драматриллердетектив,2019
21 ночь с Патти,Франция,Арно ЛарьеЖан-Мари Ларье,комедия,2015
22 июля (фильм),США,Пол Гринграсс,Драма,2018
22 мили,США,Питер Берг,"боевик, триллер",2018
22 минуты,Россия,Василий Сериков,боевик,2014
22 пули: Бессмертный,Франция,Ришар Берри,"триллер, детектив",2010
23 (фильм),Германия,Ганс-Христиан Шмидт,триллер / драма,1998
24 кадра,Иран Франция,Аббас Киаростами,драматический фильм,май 2017
24 недели,Германия,Анна Зора Берашед[d][1][4],драматический фильм,"22 сентября 2016[1][2][…], 13 октября 2016[3] и 2016"
"24 часа (фильм, 2000)",Россия,Александр Атанесян,боевикдрама,2000
"24 часа (фильм, 2002)",США Германия,Луис Мандоки,триллер,2002
"24 часа из жизни женщины (фильм, 1999)",США,Нэнси Савока,комедия,1999
24 часа: Искупление,ЮАР США,Джон Кассар,боевик и драматический фильм,
24-25 не возвращается,СССР,Алоиз Бренч Ростислав Горяев,"детективный фильм, драма",1968
25 ватт,Уругвай,Хуан Пабло РебельяПабло Столь,Комедийная драма,2001
25-й час,США,Спайк Ли,криминальный фильмдрама,2002
27 свадеб,США,Энн Флетчер,романтическая комедия,2008
27 секунд памяти,Россия Чехия Нидерланды,Иван Качалин,документальный,2019
27 украденных поцелуев,Грузия Франция Германия Россия,Нана Джорджадзе,комедиядрамамелодрама,2000
27-й день,США,Уильям Эшер,научная фантастика,1957
28 дней,США,Бетти Томас,"драма, комедия",2000
28 дней спустя,Великобритания,Дэнни Бойл,постапокалиптический фильм ужасов,2002
28 недель спустя,Великобритания США Испания[2],Хуан Карлос Фреснадильо,постапокалиптический фильм ужасов,2007
29 километр (фильм),Россия,Леонид Андронов,"драма, музыкальный фильм",2012
"29 пальм (фильм, 2003)",Франция Германия США,Брюно Дюмон,драмароуд-муви,2003
"29-я улица (фильм, 1991)",США,Джордж Галло,комедиядрама,1991
30 безумных желаний,США,Питер Хатчингс[d],независимый кинематограф,2018
30 дней до рассвета,Швеция,Андерс Банке,фильм ужасовкомедия,2006
30 дней ночи,США Новая Зеландия,Дэвид Слейд,ужасыдраматриллер,2007
30 дней ночи: Тёмные времена,США,Бен Кетай,триллер / фильм ужасов,2010
30 ночей паранормального явления с одержимой девушкой с татуировкой дракона,США,Крэйг Мосс,комедийный фильм ужасов,2012
30 свиданий,Россия,Татьяна Капитан,комедиямелодрама,2016
30 Rock: A XXX Parody,США,Ли Рой Майерс,порнофильм,2009
31 (фильм),США,Роб Зомби,Фильм ужасов,2016
31 июня (фильм),СССР,Леонид Квинихидзе,"музыкальный фильм (мюзикл), фэнтези",1978
31-й километр,Мексика Испания,Ригоберто Кастаньеда,"ужасы, мистика",2006
32 декабря (фильм),Россия,Александр Муратов,"комедия, фантастика",2004
32-е августа на Земле,Канада,Дени Вильнёв,"драма, мелодрама",1998
33 (фильм),США Чили Колумбия,Патрисия Ригген,драма,2015
34-й скорый,СССР,Андрей Малюков,Фильм-катастрофа,1981
36 безумных кулаков,Гонконг,Чэнь Чжихуа,боевиккомедиядрама,1977
38-я параллель (фильм),Республика Корея,Кан Джегю,драмабоевиквоенный,2004
39-я бригада (фильм),Венгрия,Карой Макк,"исторический фильм, военный, экранизация",1959
"40 (фильм, 2007)",Россия,Александр Галибин,детектив / триллер,2007
40 дней и 40 ночей,США,Майкл Леманн,кинокомедия,2002
40-я дверь,Азербайджан,Эльчин Мусаоглу,драма,2009
42 (фильм),США[2][3],Брайан Хелгеленд,драмаспортивный фильм,12 апреля 2013 и 8 августа 2013[1]
42-я улица (фильм),США,Ллойд БэконБасби Беркли (муз. номера),комедиямюзиклмелодрама,1933
44 минуты,США,Ив Симоно.,"боевик, драма, криминал.",2003
45 лет,Великобритания,Эндрю Хэйг[en],драма,2015
45-й калибр,США,Гари Леннон,драма,2006
"47 ронинов (фильм, 2013)",США Япония,Карл Ринш,фэнтезибоевикдрама,2013
"49 дней (фильм, 1962)",СССР,Генрих Габай,"драма, приключения",1962
50 оттенков голубого,Новая Зеландия,Стюарт Мейн,драма,2005
50 первых поцелуев,США,Питер Сигал,романтическая комедия,2004
50 таблеток,США,Тео Эвгерино,Драма,2006
51 (фильм),США,Джейсон Коннери,фантастикафильм ужасов,2011
55 (фильм),Россия,Никита Михалков,документальный фильм,2007
55 дней в Пекине,США,Николас Рэй,"драма, исторический, военный",1963
65 (фильм),США[5],Скотт БекБрайан Вудс,научно-фантастический остросюжетный боевик,2023
69 (фильм),Таиланд,Пен-Ек Ратанаруанг,комедиякриминальный фильм,1999
71 (фильм),Великобритания,Ян Деманж,историческая драма,2014
71 фрагмент хронологии случайностей,Австрия Германия,Михаэль Ханеке,драма,1994
71: В огне,Республика Корея,Ли Джэ Ханruko,боевикдрамавоенный фильм,2010
72 метра,Россия,Владимир Хотиненко,фильм-катастрофадрама,2004
72 часа,Россия,Кира Ангелина,военныйдрама,2015
"79, Парк-авеню",США,Пол Уэндкос,драма,
80 миллионов,Польша,Вальдемар Кшистек,"драма, боевик, исторический фильм",2011
88 минут,США,Джон Эвнет,"детектив, триллер",2007
90 минут на небесах,США,Майкл Полиш,драма,2015
92 ядерных взрыва на планете Земля,Нет информации,Питер Гринуэй,документальный фильм,2010
"99 (фильм, 1918)",Венгрия,Майкл Кёртис,криминальный фильм,1918
99 домов,США,Рамин Бахрани,драматический фильм[1][2],2014
99 женщин,Великобритания Италия Испания ФРГ Лихтенштейн,Хесус Франко,драма триллер  фильм ужасов,1969
99 франков (фильм),Франция,Ян Кунен,"комедия, драма",2007
100 вещей и ничего лишнего,Германия,Флориан Давид Фиц[d],комедийный фильм,2018
100 всадников,Италия Испания ФРГ,Витторио Коттафави,Исторический фильм,1964
100 девчонок и одна в лифте,США,Майкл Дэвис,комедия,2000
100 дней с Мистером Высокомерие,Республика Корея,Шин Джэ-хо[d],романтическая кинокомедиямелодрама,2004
100 лет (фильм),Франция,Роберт Родригес,Научная фантастика,"2115 (должен выйти в прокат)
2015 (снят)"
100 метров (фильм),Испания Португалия,Марсель Баррена,драмакомедия,2016
100 миллионов евро,Франция,Оливье Барру,комедия,2011
100 проблем и девушка,США,Мэтью Хаффман[d],Комедия,2000
100 слёз,США,Маркус Кох,фильм ужасов,2007
100 футов,США,Эрик Ред,триллер,2008
101 далматинец (фильм),США,Стивен Херек,семейный фильмкомедияприключенческий фильм,1996
101 Рейкьявик,Исландия Дания Норвегия Франция,Балтазар Кормакур,романтическая комедия,2000
101 Рейс,Узбекистан,Акром Шахназаров,биография,1 июнь 2022
101-й километр (фильм),Россия,Леонид Марягин,драма,2001
102 далматинца,США,Кевин Лима,комедия,2000
109-й идёт без остановок,Япония,Дзюнъя Сато,фильм-катастрофа,1975
120 ударов в минуту,Франция,Робен Кампийо,драматический фильм и ЛГБТ-фильм[d][1],2017
127 часов,США Великобритания,Дэнни Бойл,драматриллер,2010
128 ударов сердца в минуту,"США,  Франция,  Великобритания",Макс Джозеф,музыкальная драма,2015
187 (фильм),США,Кевин Рейнольдс,"драма, триллер",1997
200 сигарет,США,Риза Брэмон Гарсия,комедия драма мелодрама,1999
247 градусов по Фаренгейту,США Грузия,Леван Бакха,фильм ужасов,2011
"300 спартанцев (фильм, 2006)",США,Зак Снайдер,кинокомикспеплумнеонуар,2006[~ 1]
300 спартанцев: Расцвет империи,США,Ноам Мурро,пеплум,2014
"301, 302",Республика Корея,Пак Чхоль Су[en],триллерфильм ужасовдетектив,1995
317-й взвод,Франция Испания,Пьер Шёндёрффер[1],военный фильм и драматический фильм,1964
365 дней (фильм),Польша,Барбара БяловонсТомаш Мандес,эротическая комедия,2020
"451 градус по Фаренгейту (фильм, 1966)",Франция Великобритания,Франсуа Трюффо,антиутопия,"23 декабря 1966[1], 14 ноября 1966[2], 1966, 15 сентября 1966[2] и 16 сентября 1966[2]"
"451 градус по Фаренгейту (фильм, 2018)",США,Рамин Бахрани,"драматический фильм, дистопия[d], научно-фантастический фильм и экранизация романа[d]",
500 дней лета,США,Марк Уэбб,романтическая комедийная драма,2009
600 миль,Мексика,Габриэль Рипштейн[d],драматический фильм,6 февраля 2015
711 Оушен Драйв,США,Джозеф М. Ньюман,Фильм нуар,1950
713-й просит посадку,СССР,Григорий Никулин,"драма триллер, приключениефильм-катастрофа",1962
800 льё вниз по Амазонке,Перу  США,Луис Льоса,приключения,1993
800 пуль,Испания,Алекс Де Ла Иглесиа,драма,2002
900 дней. Миф и реальность ленинградской блокады,Нидерланды,Джессика Гортер,документальный,2011
900 незабываемых дней,СССР,Валерий Соловцов,документальный пропагандистский,1964
977 (фильм),Россия,Николай Хомерики,"фантастика,драма",2006
1040 (фильм),США,Эван Джексон Леонг,документальный,12 марта 2010
1210 (фильм),Россия,Арсений Гончуков,драма,2012
1242: Врата на Запад,Венгрия,Петер Шоош[d],,2023
1408 (фильм),США,Микаэль Хофстрём,ужасы триллермистика психоделикадрама,2007
1492: Завоевание рая,США Франция Испания Великобритания,Ридли Скотт,драма / исторический,1992
1500 шагов,Австралия,Джош Рейд,драма,2014
1612 (фильм),Россия,Владимир Хотиненко,Приключенческий фильм,2007
1812 (документальный цикл),Россия,Павел Тупик,"документальный, драма",
1812 год (фильм),Российская империя,Василий ГончаровКай ГанзенАлександр Уральский,драмаисторический,1912
1812: Уланская баллада,Россия,Олег Фесенко,приключенческийисторический,2012
1860 (фильм),Италия,Алессандро Блазетти,Драма,1934
1917 (фильм),Великобритания США,Сэм Мендес,военная драма,2019
1922 (фильм),США,Зак Хилдитч,"криминальная драма, триллер",2017
"1939 (фильм, 1989)",Швеция,Йоран Кармбак,драма,1989
1939 (фильм),Великобритания,Стивен Поляков,драма,2009
1941 (фильм),США,Стивен Спилберг,комедиявоенный фильм,1979
1941. Крылья над Берлином,Россия,Константин Буслов,биографиямелодрама,2022
1944 (фильм),Эстония Финляндия,Эльмо Нюганен [1],военный фильмдрама,2015
1971 (фильм),США,Джоанна Гамильтон,документалистика,2014
1984 (рекламный ролик),США,Ридли Скотт,Реклама,1984
"1984 (фильм, 1956)",Великобритания,Майкл Андерсон,антиутопиядрамафантастика,1956
"1984 (фильм, 1984)",Великобритания,Майкл Рэдфорд,антиутопия,1984
"1984 (фильм, 2023)",Финляндия Россия,Диана Ринго,антиутопия,2023
1990: Воины Бронкса,Италия,Энцо Г. Кастеллари,боевик антиутопия,1982
1991: The Year Punk Broke,США,Дэвид Марки,документальный,1992
1993 (фильм),Россия,Александр Велединский,драматический фильм,2023
2001 маньяк,США,Тим Салливан,комедияфильм ужасов,2005
2001 маньяк: Территория криков,США,Тим Салливанruen,комедияфильм ужасов,2010
2009: Утраченные воспоминания,Южная Корея Япония,Ли Щи-мён,ФантастикаБоевикТриллерАльтернативная история,2002
2012 (фильм),США,Роланд Эммерих,научно-фантастический фильм-катастрофа,2009
2012: Ледниковый период,США,Трэвис Форт,научно-фантастический фильм-катастрофа,2011
2019: После падения Нью-Йорка,Франция Италия,Сержо Мартино,боевикфильм ужасовфантастикапостапокалиптика,1983
2030 — Восстание молодых немцев,Германия,Йорг Людорф,фантастикадрама,2011
2036: Происхождение неизвестно,Великобритания,Хасраф Дулулл,научная фантастика,2018
2036: Nexus Dawn,США,Люк Скотт,"антиутопический фильм, научно-фантастический фильм и киберпанк",30 августа 2017
2046 (фильм),Китай Гонконг,Вонг Карвай,драмамелодрамафантастика,2004
2050 (фильм),США,Принстон Холт,"научная фантастика, драма",2018
2067: Петля времени,Австралия,Сет Ларни,научно-фантастический триллер,2020
2081 (фильм),США,Чендлер Таттл,Фантастика Антиутопия,2009
2199: Космическая одиссея,Япония,Такаси Ямадзаки,"боевик, постапокалиптика, космическая опера, драма",2010
3000 миль до Грейсленда,США,Дэмиен Лихтенштайн,"драма, комедия, криминал, триллер",2001
3096 дней (фильм),Германия,Шерри Хорман,драма,2013
7500 (фильм),"США,  Австрия,  Германия",Патрик Воллрат,Триллербоевик,2019
А был ли Каротин?,СССР,Геннадий Полока,детективный фильмкомедия,1989
А в душе я танцую,Великобритания Ирландия Франция,Дэмиен О'Доннелл,драма,2004
А вот и гости!,Великобритания,Дэвид Йейтс,комедиядрамасемейный фильмфэнтези,2003
А вот и Лола,США,Эллен Сидлер  Мэган Силер,Романтическая комедия,2009
А вот и Полли,США,Джон Гамбург,комедия,2004
А вот и Хаггетты,Великобритания,Кен Эннакин,"комедия, драма",1948
А вы любили когда-нибудь?,СССР,Игорь Усов,музыкальная комедия,1973
А если это любовь?,СССР,Юлий Райзман,драма,1961
А завтра весь мир,,Юлия фон Хайнц,драма,2020
А защищал её Плевако,Российская империя,Николай Козловский,драма,1916
"А зори здесь тихие (фильм, 1972)",СССР,Станислав Ростоцкий,"драма
военный
экранизация",1972
А зори здесь тихие...,Россия,Ренат Давлетьяров,"драма
военный",2015
А как же Боб?,США,Фрэнк Оз,комедия,1991
А кто я на этот раз?,США,Джонатан Демми,драма,1983
"А ну-ка, дедушки!",СССР  Болгария,"Нинель Ненова-Цулая, Гено Цулая",комедия,1981
А пароходы гудят и уходят…,СССР,Рубен Мурадян[d],,1972
А потом мы танцевали,"Грузия
 Франция
 Швеция",Леван Акин,драма,2019
А поутру они проснулись,Россия,Сергей Никоненко,комедиядрама,2003
А счастье рядом,СССР  Таджикская ССР,Маргарита Касымова,мелодрама,1978
А теперь не смотри,Великобритания Италия,Николас Роуг,мистический триллер,1973
А теперь нечто совсем другое,Великобритания,Иан Макнафтон,комедия,1971
"А теперь, дамы и господа",Франция Великобритания,Клод Лелуш,криминальный фильмдрамамелодраматриллер,2002
А у вас который час? (фильм),Китайская Республика,Цай Минлян,драма,2001
А у нас была тишина…,СССР,Владимир Шамшурин,военная драма,1977
А чой-то ты во фраке? (фильм),Россия,Иосиф Райхельгауз,комедия / мюзикл,1993
Аафат,Индия,Атма Рам[d],криминальный триллер[d],1977
Абатуар. Лабиринт страха,США,Даррен Линн Боусман,фильм ужасов,2016
Аббат Шаолиня,Гонконг,Хэ Мэнхуа[en],боевикприключенческий фильм,1979
Аббатство Даунтон (фильм),Великобритания,Майкл Энглер[en],драма,2019
Аббатство Даунтон: Новая эра,Великобритания США,Саймон Кёртис[en],историческая драма,2022
"Абдулладжан, или Посвящается Стивену Спилбергу",СССР,Зульфикар Мусаков,"фантастический фильм, комедия",1991
Абель (фильм),Нидерланды,Алекс ван Вармердам,комедия,1986
Абитуриентка (фильм),СССР,Алексей Мишурин,Драма,1973
Абориген (фильм),СССР,Елена Николаева,Драма,1988
"Аборт: Истории, рассказанные женщинами",США,Трейси Дроз Трагос[1],документальный фильм,2016
"Абраксас, хранитель Вселенной",США,Дэмьен Ли,боевик,1991
Абрикосовые рощи,Армения,Пуриа Хейдари Урех,драма  мелодрама,2016
Абсолон,Великобритания   Канада,Дэвид Барто,фантастический боевик,2003
"Абсолютная власть (фильм, 1997)",США,Клинт Иствуд,драматриллер,1997
"Абсолютная власть (фильм, 2016)",США,Даниэль Рагуссис,драматриллердетектив,2016
Абсолютная сотня,СР Югославия,Срджан Голубович,криминалдрамабоевиктриллер,2001
Абсолютные новички,Великобритания,Джулиен Темпл[en],драмафэнтезимелодрамамюзикл,1986
Абсурдистан,Германия Азербайджан,Файт Хельмер,Комедия,2008
Абу Райхан Беруни (фильм),СССР,Шухрат Аббасов,драма,1974
Ава (фильм),Франция,Леа Мисиус[fr],драма,2017
"Авалон (фильм, 1990)",США,Барри Левинсон,драма,1990
"Авалон (фильм, 2001)",Япония Польша,Мамору Осии,фантастикатриллердрамакиберпанк,2001
Авангард: Арктические волки,Китай,Стэнли Тонг,"боевик, криминал, комедия",2020
Аванпост (фильм),Россия,"Баранов, Егор Геннадьевич","фильм-триллер, постапокалиптический фильм и научно-фантастический фильм",2019
Аванти! (фильм),США Италия,Билли Уайлдер,комедия,1972
"Авантюра (фильм, 1995)",Россия Украина,Виталий Макаров,"комедия, шпионский фильм",1995
Авантюра леди Хелен,США,Дэвид Уорк Гриффит,короткометражный фильм,1909
Авантюрист (фильм),Китайская Республика,Чжан Пэйчэн[zh],военная драма[1]приключенческий фильм,1976
"Авантюристы (фильм, 1951)",Великобритания,Дэвид Макдональд,приключенческий фильм,1951
"Авантюристы (фильм, 1984)",Франция,Анри Вернёй,"драма, комедия, боевик, военный, приключения",1984
"Авантюристы (фильм, 2014)",Россия,Константин Буслов,приключения,2014
